code	date	gender	0_to_4	10_to_14	15_to_19	20_to_24	25_to_29	30_to_34	35_to_39	40_to_44	45_to_49	50_to_54	55_to_59	5_to_9	60_to_64	65_to_69	70_to_74	75_to_79	80_to_84	85_to_89	90+
E12000003	2020-03-03	maleCases	0	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1
E12000004	2020-03-03	maleCases	0	0	0	0	0	1	2	1	1	0	2	0	1	1	0	0	0	0	0
E12000005	2020-03-03	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
E12000006	2020-03-03	maleCases	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0
E12000007	2020-03-03	maleCases	0	1	0	1	1	2	2	2	4	3	2	0	1	1	2	0	0	0	0
E12000008	2020-03-03	maleCases	0	0	1	1	1	2	0	0	4	4	1	0	2	0	0	0	2	0	0
E12000009	2020-03-03	maleCases	0	0	0	1	0	0	0	1	4	2	4	0	1	1	0	0	0	0	0
E92000001	2020-03-03	maleCases	0	1	1	7	4	7	8	8	18	13	14	0	7	4	3	1	3	0	1
E12000001	2020-03-04	maleCases	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-04	maleCases	0	0	0	1	1	0	1	3	0	3	3	0	1	1	1	0	0	0	0
E12000003	2020-03-04	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	0	0	0	1
E12000004	2020-03-04	maleCases	0	0	0	0	0	1	2	1	1	0	2	0	2	1	0	0	0	0	0
E12000005	2020-03-04	maleCases	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
E12000006	2020-03-04	maleCases	0	1	0	1	0	0	1	0	4	1	1	0	0	2	1	0	1	0	0
E12000007	2020-03-04	maleCases	0	1	0	2	1	4	3	3	4	4	3	0	1	2	2	1	0	0	0
E12000008	2020-03-04	maleCases	0	0	1	2	1	2	0	0	5	5	1	0	2	0	0	0	2	0	0
E12000009	2020-03-04	maleCases	0	0	0	1	2	0	1	1	5	3	4	0	1	1	0	0	0	0	0
E92000001	2020-03-04	maleCases	0	2	1	10	6	9	10	10	20	18	15	0	8	7	4	2	4	0	1
E12000001	2020-03-05	maleCases	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-05	maleCases	0	0	0	2	1	0	2	4	1	3	5	0	1	1	1	0	0	0	0
E12000003	2020-03-05	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	0	0	0	1
E12000004	2020-03-05	maleCases	0	0	0	0	0	2	2	1	1	0	2	0	2	1	0	0	0	0	0
E12000005	2020-03-05	maleCases	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	1	1	0	0
E12000006	2020-03-05	maleCases	0	1	0	1	0	0	1	0	4	1	1	0	0	2	1	0	1	0	0
E12000007	2020-03-05	maleCases	0	1	0	2	2	5	7	4	4	4	3	0	1	2	2	2	0	0	0
E12000008	2020-03-05	maleCases	0	0	1	2	1	2	0	0	5	7	1	0	2	0	0	0	2	0	0
E12000009	2020-03-05	maleCases	0	0	0	1	3	0	1	1	5	3	5	0	1	1	0	0	0	0	0
E92000001	2020-03-05	maleCases	0	2	1	11	9	12	16	12	21	20	18	0	9	7	4	3	5	0	1
E12000001	2020-03-06	maleCases	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-06	maleCases	0	0	0	2	1	0	2	4	1	4	5	0	1	1	1	0	0	0	0
E12000003	2020-03-06	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	0	1	0	0	1
E12000004	2020-03-06	maleCases	0	1	0	0	0	2	2	2	2	0	2	0	2	2	0	0	0	0	0
E12000005	2020-03-06	maleCases	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	1	1	0	0
E12000006	2020-03-06	maleCases	0	1	0	1	0	0	1	0	4	2	1	0	1	2	1	0	1	0	0
E12000007	2020-03-06	maleCases	1	1	0	5	4	6	7	4	4	4	3	0	1	2	3	2	0	1	0
E12000008	2020-03-06	maleCases	0	1	1	3	2	3	0	0	6	7	2	0	4	0	0	0	2	0	0
E12000009	2020-03-06	maleCases	0	1	0	1	3	0	1	1	5	3	6	0	3	2	0	0	0	0	0
E92000001	2020-03-06	maleCases	1	5	1	15	13	14	16	13	23	23	21	0	14	9	6	4	5	1	1
E12000001	2020-03-07	maleCases	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000002	2020-03-07	maleCases	0	0	1	2	1	1	2	4	1	4	6	0	1	2	1	0	0	0	0
E12000003	2020-03-07	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	1	1	0	0	1
E12000004	2020-03-07	maleCases	0	1	0	0	0	2	2	2	2	0	2	0	3	3	0	0	0	0	0
E12000005	2020-03-07	maleCases	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	1	2	0	0
E12000006	2020-03-07	maleCases	0	1	0	1	0	0	1	0	4	2	1	0	1	2	1	0	1	0	0
E12000007	2020-03-07	maleCases	1	1	0	5	5	7	7	5	6	5	3	0	3	3	4	2	0	1	0
E12000008	2020-03-07	maleCases	0	1	1	3	2	3	0	0	7	7	2	0	4	0	0	1	2	0	0
E12000009	2020-03-07	maleCases	0	1	1	1	4	0	1	1	6	3	6	0	3	2	0	0	0	0	0
E92000001	2020-03-07	maleCases	1	5	3	15	15	16	16	14	27	24	22	0	17	12	8	5	6	1	1
E12000002	2020-03-08	maleCases	0	0	1	2	1	1	2	4	1	4	7	0	1	2	1	1	0	0	0
E12000003	2020-03-08	maleCases	0	0	0	2	1	0	1	2	1	2	0	0	0	0	1	1	0	0	1
E12000004	2020-03-08	maleCases	0	1	0	0	0	2	2	2	2	0	2	0	3	3	0	0	0	0	0
E12000005	2020-03-08	maleCases	0	0	0	0	2	0	2	0	0	0	2	0	2	0	0	1	2	0	0
E12000006	2020-03-08	maleCases	0	1	0	1	1	0	1	0	4	2	1	0	1	2	1	0	1	0	0
E12000007	2020-03-08	maleCases	1	1	0	7	7	8	8	6	6	6	3	0	4	4	4	3	1	4	0
E12000008	2020-03-08	maleCases	0	1	1	4	2	3	0	0	8	8	2	0	4	0	0	1	2	0	0
E12000009	2020-03-08	maleCases	0	1	1	1	4	0	1	1	6	3	7	0	3	3	0	1	0	0	0
E92000001	2020-03-08	maleCases	1	5	3	18	19	17	17	15	28	26	24	0	18	14	8	8	7	4	1
E12000001	2020-03-09	maleCases	0	0	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0
E12000002	2020-03-09	maleCases	0	0	1	2	1	1	2	4	2	5	7	0	1	2	1	1	0	1	0
E12000003	2020-03-09	maleCases	0	0	0	2	1	0	1	2	2	3	1	0	0	1	2	1	0	0	1
E12000004	2020-03-09	maleCases	0	1	0	3	0	2	2	2	2	2	2	1	4	3	0	0	0	0	0
E12000005	2020-03-09	maleCases	0	0	0	0	2	0	2	0	0	0	3	0	2	1	1	1	2	0	0
E12000006	2020-03-09	maleCases	0	1	0	1	1	1	1	1	4	2	1	0	1	2	1	0	1	0	0
E12000007	2020-03-09	maleCases	1	1	0	7	10	13	12	7	10	7	8	0	8	9	5	3	1	6	1
E12000008	2020-03-09	maleCases	0	1	2	6	2	3	2	1	8	9	3	0	4	2	1	1	2	0	0
E12000009	2020-03-09	maleCases	0	1	1	1	4	0	1	1	6	3	8	0	3	3	0	1	0	0	0
E92000001	2020-03-09	maleCases	1	5	4	23	22	23	23	18	34	32	34	1	24	24	12	8	8	7	2
E12000001	2020-03-10	maleCases	0	0	0	0	1	4	0	0	0	0	1	0	1	2	0	0	0	0	0
E12000002	2020-03-10	maleCases	0	0	1	2	1	1	4	6	3	5	7	0	1	2	1	1	1	2	1
E12000003	2020-03-10	maleCases	0	1	0	2	4	0	1	4	2	3	2	1	2	1	4	1	0	0	1
E12000004	2020-03-10	maleCases	0	1	0	3	0	3	3	2	2	4	2	1	4	4	0	0	1	1	0
E12000005	2020-03-10	maleCases	0	0	0	1	2	1	2	1	1	2	3	0	3	1	1	1	2	3	0
E12000006	2020-03-10	maleCases	0	1	0	1	1	1	1	1	5	6	2	0	1	3	2	1	1	0	0
E12000007	2020-03-10	maleCases	2	3	0	12	13	16	14	9	12	11	14	0	13	13	10	5	3	8	3
